ID,Noida Sector 142,Noida Sector 137,Noida Sector 83,NSEZ,Noida Sector 81,Noida Sector 101,Noida Sector 76,Noida Sector 50,Noida Sector 51
17050,2:52pm,2:54pm,2:57pm,2:59pm,3:01pm,3:04pm,3:06pm,3:08pm,3:11pm
17051,3:02pm,3:04pm,3:07pm,3:09pm,3:11pm,3:14pm,3:16pm,3:18pm,3:21pm
17052,3:12pm,3:14pm,3:17pm,3:19pm,3:21pm,3:24pm,3:26pm,3:28pm,3:31pm
17053,3:22pm,3:24pm,3:27pm,3:29pm,3:31pm,3:34pm,3:36pm,3:38pm,3:41pm
17054,3:32pm,3:34pm,3:37pm,3:39pm,3:41pm,3:44pm,3:46pm,3:48pm,3:51pm
17055,3:42pm,3:44pm,3:47pm,3:49pm,3:51pm,3:54pm,3:56pm,3:58pm,4:01pm
17056,3:52pm,3:54pm,3:57pm,3:59pm,4:01pm,4:04pm,4:06pm,4:08pm,4:11pm
17057,4:02pm,4:04pm,4:07pm,4:09pm,4:11pm,4:14pm,4:16pm,4:18pm,4:21pm
17058,4:12pm,4:14pm,4:17pm,4:19pm,4:21pm,4:24pm,4:26pm,4:28pm,4:31pm
17059,4:22pm,4:24pm,4:27pm,4:29pm,4:31pm,4:34pm,4:36pm,4:38pm,4:41pm
17060,4:32pm,4:34pm,4:37pm,4:39pm,4:41pm,4:44pm,4:46pm,4:48pm,4:51pm
17061,4:42pm,4:44pm,4:47pm,4:49pm,4:51pm,4:54pm,4:56pm,4:58pm,5:01pm
17062,4:52pm,4:54pm,4:57pm,4:59pm,5:01pm,5:04pm,5:06pm,5:08pm,5:11pm
17063,5:02pm,5:04pm,5:07pm,5:09pm,5:11pm,5:14pm,5:16pm,5:18pm,5:21pm
17064,5:10pm,5:12pm,5:14pm,5:17pm,5:19pm,5:21pm,5:24pm,5:26pm,5:28pm
17065,5:17pm,5:19pm,5:22pm,5:24pm,5:26pm,5:29pm,5:31pm,5:33pm,5:36pm
17066,5:25pm,5:27pm,5:29pm,5:32pm,5:34pm,5:36pm,5:39pm,5:41pm,5:43pm
17067,5:32pm,5:34pm,5:37pm,5:39pm,5:41pm,5:44pm,5:46pm,5:48pm,5:51pm
17068,5:40pm,5:42pm,5:44pm,5:47pm,5:49pm,5:51pm,5:54pm,5:56pm,5:58pm
17069,5:47pm,5:49pm,5:52pm,5:54pm,5:56pm,5:59pm,6:01pm,6:03pm,6:06pm
17070,5:55pm,5:57pm,5:59pm,6:02pm,6:04pm,6:06pm,6:09pm,6:11pm,6:13pm
17071,6:02pm,6:04pm,6:07pm,6:09pm,6:11pm,6:14pm,6:16pm,6:18pm,6:21pm
17072,6:10pm,6:12pm,6:14pm,6:17pm,6:19pm,6:21pm,6:24pm,6:26pm,6:28pm
17073,6:17pm,6:19pm,6:22pm,6:24pm,6:26pm,6:29pm,6:31pm,6:33pm,6:36pm
17074,6:25pm,6:27pm,6:29pm,6:32pm,6:34pm,6:36pm,6:39pm,6:41pm,6:43pm
17075,6:32pm,6:34pm,6:37pm,6:39pm,6:41pm,6:44pm,6:46pm,6:48pm,6:51pm
17076,6:40pm,6:42pm,6:44pm,6:47pm,6:49pm,6:51pm,6:54pm,6:56pm,6:58pm
17077,6:47pm,6:49pm,6:52pm,6:54pm,6:56pm,6:59pm,7:01pm,7:03pm,7:06pm
17078,6:55pm,6:57pm,6:59pm,7:02pm,7:04pm,7:06pm,7:09pm,7:11pm,7:13pm
17079,7:02pm,7:04pm,7:07pm,7:09pm,7:11pm,7:14pm,7:16pm,7:18pm,7:21pm
17080,7:10pm,7:12pm,7:14pm,7:17pm,7:19pm,7:21pm,7:24pm,7:26pm,7:28pm
17081,7:17pm,7:19pm,7:22pm,7:24pm,7:26pm,7:29pm,7:31pm,7:33pm,7:36pm
17082,7:25pm,7:27pm,7:29pm,7:32pm,7:34pm,7:36pm,7:39pm,7:41pm,7:43pm
17083,7:32pm,7:34pm,7:37pm,7:39pm,7:41pm,7:44pm,7:46pm,7:48pm,7:51pm
17084,7:40pm,7:42pm,7:44pm,7:47pm,7:49pm,7:51pm,7:54pm,7:56pm,7:58pm
17085,7:47pm,7:49pm,7:52pm,7:54pm,7:56pm,7:59pm,8:01pm,8:03pm,8:06pm
17086,7:55pm,7:57pm,7:59pm,8:02pm,8:04pm,8:06pm,8:09pm,8:11pm,8:13pm
17087,8:02pm,8:04pm,8:07pm,8:09pm,8:11pm,8:14pm,8:16pm,8:18pm,8:21pm
17088,8:10pm,8:12pm,8:14pm,8:17pm,8:19pm,8:21pm,8:24pm,8:26pm,8:28pm
17089,8:17pm,8:19pm,8:22pm,8:24pm,8:26pm,8:29pm,8:31pm,8:33pm,8:36pm
17090,8:25pm,8:27pm,8:29pm,8:32pm,8:34pm,8:36pm,8:39pm,8:41pm,8:43pm
17091,8:32pm,8:34pm,8:37pm,8:39pm,8:41pm,8:44pm,8:46pm,8:48pm,8:51pm
17092,8:40pm,8:42pm,8:44pm,8:47pm,8:49pm,8:51pm,8:54pm,8:56pm,8:58pm
17093,8:47pm,8:49pm,8:52pm,8:54pm,8:56pm,8:59pm,9:01pm,9:03pm,9:06pm
17094,8:55pm,8:57pm,8:59pm,9:02pm,9:04pm,9:06pm,9:09pm,9:11pm,9:13pm
17095,9:02pm,9:04pm,9:07pm,9:09pm,9:11pm,9:14pm,9:16pm,9:18pm,9:21pm
17096,9:12pm,9:14pm,9:17pm,9:19pm,9:21pm,9:24pm,9:26pm,9:28pm,9:31pm
17097,9:22pm,9:24pm,9:27pm,9:29pm,9:31pm,9:34pm,9:36pm,9:38pm,9:41pm
17098,9:32pm,9:34pm,9:37pm,9:39pm,9:41pm,9:44pm,9:46pm,9:48pm,9:51pm
17099,9:42pm,9:44pm,9:47pm,9:49pm,9:51pm,9:54pm,9:56pm,9:58pm,10:01pm
17100,9:52pm,9:54pm,9:57pm,9:59pm,10:01pm,10:04pm,10:06pm,10:08pm,10:11pm
