ID,Huda City Centre,IFFCO Chowk,MG Road,Sikanderpur,Gurudronacharya,Arjan Garh,Ghitorni,Sultanpur,Chhattarpur,Qutab Minar
2230,11:13am,11:16am,11:18am,11:21am,11:23am,11:26am,11:30am,11:32am,11:35am,11:38am
2231,11:28am,11:30am,11:33am,11:36am,11:38am,11:41am,11:45am,11:47am,11:50am,11:53am
2232,11:43am,11:45am,11:48am,11:50am,11:52am,11:56am,12:00pm,12:02pm,12:05pm,12:08pm
2233,11:58am,12:00pm,12:03pm,12:05pm,12:07pm,12:11pm,12:14pm,12:17pm,12:20pm,12:22pm
2234,12:13pm,12:15pm,12:18pm,12:20pm,12:22pm,12:26pm,12:29pm,12:32pm,12:35pm,12:37pm
2235,12:15pm,12:18pm,12:20pm,12:23pm,12:25pm,12:29pm,12:32pm,12:35pm,12:37pm,12:40pm
2236,12:18pm,12:21pm,12:23pm,12:26pm,12:28pm,12:31pm,12:35pm,12:37pm,12:40pm,12:43pm
2237,12:21pm,12:23pm,12:26pm,12:29pm,12:31pm,12:34pm,12:38pm,12:40pm,12:43pm,12:46pm
2238,12:24pm,12:26pm,12:29pm,12:31pm,12:34pm,12:37pm,12:41pm,12:43pm,12:46pm,12:49pm
2239,12:27pm,12:29pm,12:32pm,12:34pm,12:36pm,12:40pm,12:44pm,12:46pm,12:49pm,12:52pm
2240,12:30pm,12:32pm,12:35pm,12:37pm,12:39pm,12:43pm,12:46pm,12:49pm,12:52pm,12:54pm
2241,12:33pm,12:35pm,12:38pm,12:40pm,12:42pm,12:46pm,12:49pm,12:52pm,12:55pm,12:57pm
2242,12:35pm,12:38pm,12:40pm,12:43pm,12:45pm,12:49pm,12:52pm,12:55pm,12:57pm,1:00pm
2243,12:38pm,12:41pm,12:43pm,12:46pm,12:48pm,12:51pm,12:55pm,12:57pm,1:00pm,1:03pm
2244,12:41pm,12:44pm,12:46pm,12:49pm,12:51pm,12:54pm,12:58pm,1:00pm,1:03pm,1:06pm
2245,12:44pm,12:46pm,12:49pm,12:52pm,12:54pm,12:57pm,1:01pm,1:03pm,1:06pm,1:09pm
2246,12:47pm,12:49pm,12:52pm,12:54pm,12:56pm,1:00pm,1:04pm,1:06pm,1:09pm,1:12pm
2247,12:50pm,12:52pm,12:55pm,12:57pm,12:59pm,1:03pm,1:07pm,1:09pm,1:12pm,1:14pm
2248,12:53pm,12:55pm,12:58pm,1:00pm,1:02pm,1:06pm,1:09pm,1:12pm,1:15pm,1:17pm
2249,12:56pm,12:58pm,1:01pm,1:03pm,1:05pm,1:09pm,1:12pm,1:15pm,1:18pm,1:20pm
2250,12:58pm,1:01pm,1:03pm,1:06pm,1:08pm,1:12pm,1:15pm,1:18pm,1:20pm,1:23pm
2251,1:01pm,1:04pm,1:06pm,1:09pm,1:11pm,1:14pm,1:18pm,1:20pm,1:23pm,1:26pm
2252,1:04pm,1:06pm,1:09pm,1:12pm,1:14pm,1:17pm,1:21pm,1:23pm,1:26pm,1:29pm
2253,1:07pm,1:09pm,1:12pm,1:14pm,1:17pm,1:20pm,1:24pm,1:26pm,1:29pm,1:32pm
2254,1:10pm,1:12pm,1:15pm,1:17pm,1:19pm,1:23pm,1:27pm,1:29pm,1:32pm,1:35pm
2255,1:13pm,1:15pm,1:18pm,1:20pm,1:22pm,1:26pm,1:29pm,1:32pm,1:35pm,1:37pm
2256,1:16pm,1:18pm,1:21pm,1:23pm,1:25pm,1:29pm,1:32pm,1:35pm,1:38pm,1:40pm
2257,1:18pm,1:21pm,1:23pm,1:26pm,1:28pm,1:32pm,1:35pm,1:38pm,1:40pm,1:43pm
2258,1:21pm,1:24pm,1:26pm,1:29pm,1:31pm,1:34pm,1:38pm,1:40pm,1:43pm,1:46pm
2259,1:24pm,1:27pm,1:29pm,1:32pm,1:34pm,1:37pm,1:41pm,1:43pm,1:46pm,1:49pm
2260,1:27pm,1:29pm,1:32pm,1:35pm,1:37pm,1:40pm,1:44pm,1:46pm,1:49pm,1:52pm
2261,1:30pm,1:32pm,1:35pm,1:37pm,1:39pm,1:43pm,1:47pm,1:49pm,1:52pm,1:55pm
2262,1:33pm,1:35pm,1:38pm,1:40pm,1:42pm,1:46pm,1:50pm,1:52pm,1:55pm,1:57pm
2263,1:36pm,1:38pm,1:41pm,1:43pm,1:45pm,1:49pm,1:52pm,1:55pm,1:58pm,2:00pm
2264,1:39pm,1:41pm,1:44pm,1:46pm,1:48pm,1:52pm,1:55pm,1:58pm,2:01pm,2:03pm
2265,1:41pm,1:44pm,1:46pm,1:49pm,1:51pm,1:55pm,1:58pm,2:01pm,2:03pm,2:06pm
2266,1:44pm,1:47pm,1:49pm,1:52pm,1:54pm,1:57pm,2:01pm,2:03pm,2:06pm,2:09pm
