ID,Shaheed Sthal (New Bus Adda),Hindon River,Arthala,Mohan Nagar,Shyam Park,Major Mohit Sharma Rajender Nagar,Raj Bagh,Shaheed Nagar,Dilshad Garden,Jhilmil,Mansrover park,Shahdara,Welcome,Seelam Pur,Shastri Park,Kashmere Gate,Tis Hazari,Pul Bangash,Pratap Nagar,Shastri Nagar,Inderlok,Kanhaiya Nagar,Keshav Puram,Netaji Subash Place,Kohat Enclave,Pitampura,Rohini East,Rohini West,Rithala
10016,6:03pm,6:05pm,6:08pm,6:10pm,6:12pm,6:15pm,6:17pm,6:19pm,6:22pm,6:24pm,6:26pm,6:29pm,6:31pm,6:34pm,6:37pm,6:40pm,6:43pm,6:45pm,6:47pm,6:50pm,6:53pm,6:55pm,6:57pm,7:00pm,7:02pm,7:05pm,7:07pm,7:09pm,7:12pm
10017,6:10pm,6:12pm,6:15pm,6:17pm,6:19pm,6:22pm,6:24pm,6:26pm,6:29pm,6:31pm,6:33pm,6:36pm,6:38pm,6:41pm,6:44pm,6:47pm,6:50pm,6:52pm,6:54pm,6:57pm,7:00pm,7:02pm,7:04pm,7:07pm,7:09pm,7:12pm,7:14pm,7:16pm,7:19pm
10018,6:17pm,6:19pm,6:22pm,6:24pm,6:26pm,6:29pm,6:31pm,6:33pm,6:36pm,6:38pm,6:40pm,6:43pm,6:45pm,6:48pm,6:51pm,6:54pm,6:57pm,6:59pm,7:01pm,7:04pm,7:07pm,7:09pm,7:11pm,7:14pm,7:16pm,7:19pm,7:21pm,7:23pm,7:26pm
10019,6:24pm,6:26pm,6:29pm,6:31pm,6:33pm,6:36pm,6:38pm,6:40pm,6:43pm,6:45pm,6:47pm,6:50pm,6:52pm,6:55pm,6:58pm,7:01pm,7:04pm,7:06pm,7:08pm,7:11pm,7:14pm,7:16pm,7:18pm,7:21pm,7:23pm,7:26pm,7:28pm,7:30pm,7:33pm
10020,6:31pm,6:33pm,6:36pm,6:38pm,6:40pm,6:43pm,6:45pm,6:47pm,6:50pm,6:52pm,6:54pm,6:57pm,6:59pm,7:02pm,7:05pm,7:08pm,7:11pm,7:13pm,7:15pm,7:18pm,7:21pm,7:23pm,7:25pm,7:28pm,7:30pm,7:33pm,7:35pm,7:37pm,7:40pm
10021,6:38pm,6:40pm,6:43pm,6:45pm,6:47pm,6:50pm,6:52pm,6:54pm,6:57pm,6:59pm,7:01pm,7:04pm,7:06pm,7:09pm,7:12pm,7:15pm,7:18pm,7:20pm,7:22pm,7:25pm,7:28pm,7:30pm,7:32pm,7:35pm,7:37pm,7:40pm,7:42pm,7:44pm,7:47pm
10022,6:45pm,6:47pm,6:50pm,6:52pm,6:54pm,6:57pm,6:59pm,7:01pm,7:04pm,7:06pm,7:08pm,7:11pm,7:13pm,7:16pm,7:19pm,7:22pm,7:25pm,7:27pm,7:29pm,7:32pm,7:35pm,7:37pm,7:39pm,7:42pm,7:44pm,7:47pm,7:49pm,7:51pm,7:54pm
10023,6:52pm,6:54pm,6:57pm,6:59pm,7:01pm,7:04pm,7:06pm,7:08pm,7:11pm,7:13pm,7:15pm,7:18pm,7:20pm,7:23pm,7:26pm,7:29pm,7:32pm,7:34pm,7:36pm,7:39pm,7:42pm,7:44pm,7:46pm,7:49pm,7:51pm,7:54pm,7:56pm,7:58pm,8:01pm
10024,6:59pm,7:01pm,7:04pm,7:06pm,7:08pm,7:11pm,7:13pm,7:15pm,7:18pm,7:20pm,7:22pm,7:25pm,7:27pm,7:30pm,7:33pm,7:36pm,7:39pm,7:41pm,7:43pm,7:46pm,7:49pm,7:51pm,7:53pm,7:56pm,7:58pm,8:01pm,8:03pm,8:05pm,8:08pm
10025,7:06pm,7:08pm,7:11pm,7:13pm,7:15pm,7:18pm,7:20pm,7:22pm,7:25pm,7:27pm,7:29pm,7:32pm,7:34pm,7:37pm,7:40pm,7:43pm,7:46pm,7:48pm,7:50pm,7:53pm,7:56pm,7:58pm,8:00pm,8:03pm,8:05pm,8:08pm,8:10pm,8:12pm,8:15pm
10026,7:13pm,7:15pm,7:18pm,7:20pm,7:22pm,7:25pm,7:27pm,7:29pm,7:32pm,7:34pm,7:36pm,7:39pm,7:41pm,7:44pm,7:47pm,7:50pm,7:53pm,7:55pm,7:57pm,8:00pm,8:03pm,8:05pm,8:07pm,8:10pm,8:12pm,8:15pm,8:17pm,8:19pm,8:22pm
10027,7:20pm,7:22pm,7:25pm,7:27pm,7:29pm,7:32pm,7:34pm,7:36pm,7:39pm,7:41pm,7:43pm,7:46pm,7:48pm,7:51pm,7:54pm,7:57pm,8:00pm,8:02pm,8:04pm,8:07pm,8:10pm,8:12pm,8:14pm,8:17pm,8:19pm,8:22pm,8:24pm,8:26pm,8:29pm
10028,7:27pm,7:29pm,7:32pm,7:34pm,7:36pm,7:39pm,7:41pm,7:43pm,7:46pm,7:48pm,7:50pm,7:53pm,7:55pm,7:58pm,8:01pm,8:04pm,8:07pm,8:09pm,8:11pm,8:14pm,8:17pm,8:19pm,8:21pm,8:24pm,8:26pm,8:29pm,8:31pm,8:33pm,8:36pm
10029,7:34pm,7:36pm,7:39pm,7:41pm,7:43pm,7:46pm,7:48pm,7:50pm,7:53pm,7:55pm,7:57pm,8:00pm,8:02pm,8:05pm,8:08pm,8:11pm,8:14pm,8:16pm,8:18pm,8:21pm,8:24pm,8:26pm,8:28pm,8:31pm,8:33pm,8:36pm,8:38pm,8:40pm,8:43pm
10030,7:41pm,7:43pm,7:46pm,7:48pm,7:50pm,7:53pm,7:55pm,7:57pm,8:00pm,8:02pm,8:04pm,8:07pm,8:09pm,8:12pm,8:15pm,8:18pm,8:21pm,8:23pm,8:25pm,8:28pm,8:31pm,8:33pm,8:35pm,8:38pm,8:40pm,8:43pm,8:45pm,8:47pm,8:50pm
10031,7:48pm,7:50pm,7:53pm,7:55pm,7:57pm,8:00pm,8:02pm,8:04pm,8:07pm,8:09pm,8:11pm,8:14pm,8:16pm,8:19pm,8:22pm,8:25pm,8:28pm,8:30pm,8:32pm,8:35pm,8:38pm,8:40pm,8:42pm,8:45pm,8:47pm,8:50pm,8:52pm,8:54pm,8:57pm
10032,7:55pm,7:57pm,8:00pm,8:02pm,8:04pm,8:07pm,8:09pm,8:11pm,8:14pm,8:16pm,8:18pm,8:21pm,8:23pm,8:26pm,8:29pm,8:32pm,8:35pm,8:37pm,8:39pm,8:42pm,8:45pm,8:47pm,8:49pm,8:52pm,8:54pm,8:57pm,8:59pm,9:01pm,9:04pm
10033,8:02pm,8:04pm,8:07pm,8:09pm,8:11pm,8:14pm,8:16pm,8:18pm,8:21pm,8:23pm,8:25pm,8:28pm,8:30pm,8:33pm,8:36pm,8:39pm,8:42pm,8:44pm,8:46pm,8:49pm,8:52pm,8:54pm,8:56pm,8:59pm,9:01pm,9:04pm,9:06pm,9:08pm,9:11pm
10034,8:09pm,8:11pm,8:14pm,8:16pm,8:18pm,8:21pm,8:23pm,8:25pm,8:28pm,8:30pm,8:32pm,8:35pm,8:37pm,8:40pm,8:43pm,8:46pm,8:49pm,8:51pm,8:53pm,8:56pm,8:59pm,9:01pm,9:03pm,9:06pm,9:08pm,9:11pm,9:13pm,9:15pm,9:18pm
10035,8:16pm,8:18pm,8:21pm,8:23pm,8:25pm,8:28pm,8:30pm,8:32pm,8:35pm,8:37pm,8:39pm,8:42pm,8:44pm,8:47pm,8:50pm,8:53pm,8:56pm,8:58pm,9:00pm,9:03pm,9:06pm,9:08pm,9:10pm,9:13pm,9:15pm,9:18pm,9:20pm,9:22pm,9:25pm
10036,8:23pm,8:25pm,8:28pm,8:30pm,8:32pm,8:35pm,8:37pm,8:39pm,8:42pm,8:44pm,8:46pm,8:49pm,8:51pm,8:54pm,8:57pm,9:00pm,9:03pm,9:05pm,9:07pm,9:10pm,9:13pm,9:15pm,9:17pm,9:20pm,9:22pm,9:25pm,9:27pm,9:29pm,9:32pm
10037,8:30pm,8:32pm,8:35pm,8:37pm,8:39pm,8:42pm,8:44pm,8:46pm,8:49pm,8:51pm,8:53pm,8:56pm,8:58pm,9:01pm,9:04pm,9:07pm,9:10pm,9:12pm,9:14pm,9:17pm,9:20pm,9:22pm,9:24pm,9:27pm,9:29pm,9:32pm,9:34pm,9:36pm,9:39pm
10038,8:37pm,8:39pm,8:42pm,8:44pm,8:46pm,8:49pm,8:51pm,8:53pm,8:56pm,8:58pm,9:00pm,9:03pm,9:05pm,9:08pm,9:11pm,9:14pm,9:17pm,9:19pm,9:21pm,9:24pm,9:27pm,9:29pm,9:31pm,9:34pm,9:36pm,9:39pm,9:41pm,9:43pm,9:46pm
10039,8:44pm,8:46pm,8:49pm,8:51pm,8:53pm,8:56pm,8:58pm,9:00pm,9:03pm,9:05pm,9:07pm,9:10pm,9:12pm,9:15pm,9:18pm,9:21pm,9:24pm,9:26pm,9:28pm,9:31pm,9:34pm,9:36pm,9:38pm,9:41pm,9:43pm,9:46pm,9:48pm,9:50pm,9:53pm
10040,8:51pm,8:53pm,8:56pm,8:58pm,9:00pm,9:03pm,9:05pm,9:07pm,9:10pm,9:12pm,9:14pm,9:17pm,9:19pm,9:22pm,9:25pm,9:28pm,9:31pm,9:33pm,9:35pm,9:38pm,9:41pm,9:43pm,9:45pm,9:48pm,9:50pm,9:53pm,9:55pm,9:57pm,10:00pm
10041,8:58pm,9:00pm,9:03pm,9:05pm,9:07pm,9:10pm,9:12pm,9:14pm,9:17pm,9:19pm,9:21pm,9:24pm,9:26pm,9:29pm,9:32pm,9:35pm,9:38pm,9:40pm,9:42pm,9:45pm,9:48pm,9:50pm,9:52pm,9:55pm,9:57pm,10:00pm,10:02pm,10:04pm,10:07pm
10042,9:05pm,9:07pm,9:10pm,9:12pm,9:14pm,9:17pm,9:19pm,9:21pm,9:24pm,9:26pm,9:28pm,9:31pm,9:33pm,9:36pm,9:39pm,9:42pm,9:45pm,9:47pm,9:49pm,9:52pm,9:55pm,9:57pm,9:59pm,10:02pm,10:04pm,10:07pm,10:09pm,10:11pm,10:14pm
10043,9:13pm,9:15pm,9:18pm,9:20pm,9:22pm,9:25pm,9:27pm,9:30pm,9:32pm,9:34pm,9:37pm,9:39pm,9:42pm,9:44pm,9:47pm,9:51pm,9:53pm,9:55pm,9:57pm,10:00pm,10:03pm,10:05pm,10:07pm,10:10pm,10:12pm,10:15pm,10:17pm,10:19pm,10:22pm
10044,9:21pm,9:23pm,9:26pm,9:28pm,9:31pm,9:33pm,9:35pm,9:38pm,9:40pm,9:42pm,9:45pm,9:47pm,9:50pm,9:52pm,9:55pm,9:59pm,10:01pm,10:03pm,10:06pm,10:09pm,10:11pm,10:13pm,10:15pm,10:18pm,10:21pm,10:23pm,10:25pm,10:28pm,10:30pm
10045,9:29pm,9:32pm,9:34pm,9:36pm,9:39pm,9:41pm,9:43pm,9:46pm,9:48pm,9:51pm,9:53pm,9:55pm,9:58pm,10:00pm,10:03pm,10:07pm,10:09pm,10:12pm,10:14pm,10:17pm,10:19pm,10:22pm,10:24pm,10:26pm,10:29pm,10:31pm,10:33pm,10:36pm,10:39pm
10046,9:38pm,9:40pm,9:43pm,9:44pm,9:47pm,9:49pm,9:52pm,9:54pm,9:57pm,9:59pm,10:01pm,10:04pm,10:06pm,10:09pm,10:11pm,10:15pm,10:18pm,10:20pm,10:22pm,10:25pm,10:28pm,10:30pm,10:32pm,10:35pm,10:37pm,10:39pm,10:41pm,10:44pm,10:47pm
10047,9:46pm,9:48pm,9:51pm,9:53pm,9:55pm,9:58pm,10:00pm,10:02pm,10:05pm,10:07pm,10:09pm,10:12pm,10:14pm,10:17pm,10:20pm,10:23pm,10:26pm,10:28pm,10:30pm,10:33pm,10:36pm,10:38pm,10:40pm,10:43pm,10:45pm,10:48pm,10:50pm,10:52pm,10:55pm
10048,9:54pm,9:56pm,9:59pm,10:01pm,10:03pm,10:06pm,10:08pm,10:11pm,10:13pm,10:15pm,10:18pm,10:20pm,10:23pm,10:25pm,10:28pm,10:32pm,10:34pm,10:36pm,10:38pm,10:41pm,10:44pm,10:46pm,10:48pm,10:51pm,10:53pm,10:56pm,10:58pm,11:00pm,11:03pm
10049,10:02pm,10:04pm,10:07pm,10:09pm,10:12pm,10:14pm,10:16pm,10:19pm,10:21pm,10:23pm,10:26pm,10:28pm,10:31pm,10:33pm,10:36pm,10:40pm,10:42pm,10:44pm,10:47pm,10:50pm,10:52pm,10:54pm,10:56pm,10:59pm,11:02pm,11:04pm,11:06pm,11:09pm,11:11pm
10050,10:10pm,10:13pm,10:15pm,10:17pm,10:20pm,10:22pm,10:24pm,10:27pm,10:29pm,10:32pm,10:34pm,10:36pm,10:39pm,10:41pm,10:44pm,10:48pm,10:50pm,10:53pm,10:55pm,10:58pm,11:00pm,11:03pm,11:05pm,11:07pm,11:10pm,11:12pm,11:14pm,11:17pm,11:20pm
10051,10:19pm,10:21pm,10:24pm,10:25pm,10:28pm,10:30pm,10:33pm,10:35pm,10:38pm,10:40pm,10:42pm,10:45pm,10:47pm,10:50pm,10:52pm,10:56pm,10:59pm,11:01pm,11:03pm,11:06pm,11:09pm,11:11pm,11:13pm,11:16pm,11:18pm,11:20pm,11:22pm,11:25pm,11:28pm
10052,10:27pm,10:29pm,10:32pm,10:34pm,10:36pm,10:39pm,10:41pm,10:43pm,10:46pm,10:48pm,10:50pm,10:53pm,10:55pm,10:58pm,11:01pm,11:04pm,11:07pm,11:09pm,11:11pm,11:14pm,11:17pm,11:19pm,11:21pm,11:24pm,11:26pm,11:29pm,11:31pm,11:33pm,11:36pm
10053,10:35pm,10:37pm,10:40pm,10:42pm,10:44pm,10:47pm,10:49pm,10:52pm,10:54pm,10:56pm,10:59pm,11:01pm,11:04pm,11:06pm,11:09pm,11:13pm,11:15pm,11:17pm,11:19pm,11:22pm,11:25pm,11:27pm,11:29pm,11:32pm,11:34pm,11:37pm,11:39pm,11:41pm,11:44pm
10054,10:43pm,10:45pm,10:48pm,10:50pm,10:53pm,10:55pm,10:57pm,11:00pm,11:02pm,11:04pm,11:07pm,11:09pm,11:12pm,11:14pm,11:17pm,11:21pm,11:23pm,11:25pm,11:28pm,11:31pm,11:33pm,11:35pm,11:37pm,11:40pm,11:43pm,11:45pm,11:47pm,11:50pm,11:52pm
10055,10:51pm,10:54pm,10:56pm,10:58pm,11:01pm,11:03pm,11:05pm,11:08pm,11:10pm,11:13pm,11:15pm,11:17pm,11:20pm,11:22pm,11:25pm,11:29pm,11:31pm,11:34pm,11:36pm,11:39pm,11:41pm,11:44pm,11:46pm,11:48pm,11:51pm,11:53pm,11:55pm,11:58pm,12:01am
10056,11:00pm,11:02pm,11:05pm,11:06pm,11:09pm,11:11pm,11:14pm,11:16pm,11:19pm,11:21pm,11:23pm,11:26pm,11:28pm,11:31pm,11:33pm,11:37pm,11:40pm,11:42pm,11:44pm,11:47pm,11:50pm,11:52pm,11:54pm,11:57pm,11:59pm,12:01am,12:03am,12:06am,12:09am
10057,11:08pm,11:10pm,11:13pm,11:15pm,11:17pm,11:20pm,11:22pm,11:24pm,11:27pm,11:29pm,11:31pm,11:34pm,11:36pm,11:39pm,11:42pm,11:45pm,11:48pm,11:50pm,11:52pm,11:55pm,11:58pm,12:00am,12:02am,12:05am,12:07am,12:10am,12:12am,12:14am,12:17am
10058,11:16pm,11:18pm,11:21pm,11:23pm,11:25pm,11:28pm,11:30pm,11:33pm,11:35pm,11:37pm,11:40pm,11:42pm,11:45pm,11:47pm,11:50pm,11:54pm,11:56pm,11:58pm,12:00am,12:03am,12:06am,12:08am,12:10am,12:13am,12:15am,12:18am,12:20am,12:22am,12:25am
